symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOGE/USD,2024-01-01 06:00:00+00:00,0.0889881,0.0935455,0.08895485,0.09291665,22680.730084978,17.0,0.0919919618
DOGE/USD,2024-01-02 06:00:00+00:00,0.0928354,0.094293557,0.090591947,0.09159395,143507.487491132,26.0,0.0919096944
DOGE/USD,2024-01-03 06:00:00+00:00,0.091606,0.09215915,0.0733477695,0.082376,152936.840059543,72.0,0.0831845934
DOGE/USD,2024-01-04 06:00:00+00:00,0.0823595,0.088553731,0.080444511,0.0832625,82282.513444934,36.0,0.0833611894
DOGE/USD,2024-01-05 06:00:00+00:00,0.0831825,0.088057453,0.0794408,0.0801737,22940.571789906,20.0,0.0819080469
DOGE/USD,2024-01-06 06:00:00+00:00,0.0801745,0.081945,0.0785273415,0.08094715,10399.566137526,12.0,0.0807892249
DOGE/USD,2024-01-07 06:00:00+00:00,0.08100075,0.081461749,0.0742415025,0.0773415,41712.432467933,28.0,0.0767042439
DOGE/USD,2024-01-08 06:00:00+00:00,0.0773734,0.081831,0.0769111,0.08069725,49048.370930786,30.0,0.0799948215
DOGE/USD,2024-01-09 06:00:00+00:00,0.080709,0.083975,0.0754020025,0.07914085,189947.460506103,63.0,0.0798320224
DOGE/USD,2024-01-10 06:00:00+00:00,0.079153,0.085029,0.075198562,0.08322765,139944.589396832,47.0,0.0795157726
DOGE/USD,2024-01-11 06:00:00+00:00,0.08322105,0.08801475,0.080914449,0.08472765,57808.869720885,55.0,0.0850882873
DOGE/USD,2024-01-12 06:00:00+00:00,0.08467715,0.0854471,0.075241001,0.0807615,136957.996278439,37.0,0.0828065842
DOGE/USD,2024-01-13 06:00:00+00:00,0.0807585,0.081359,0.0796305,0.08078985,9611.924036434,5.0,0.0809225711
DOGE/USD,2024-01-14 06:00:00+00:00,0.08076975,0.083849992,0.0796467,0.08133015,23041.666325364,12.0,0.082231449
DOGE/USD,2024-01-15 06:00:00+00:00,0.0812732,0.081641416,0.0798285,0.08045595,4987.949264211,10.0,0.0809148135
DOGE/USD,2024-01-16 06:00:00+00:00,0.0803915,0.08248755,0.079734,0.08073325,23876.107798373,14.0,0.0808943608
DOGE/USD,2024-01-17 06:00:00+00:00,0.0806955,0.0810785,0.0793045,0.080535,10349.677357477,14.0,0.0802356731
DOGE/USD,2024-01-18 06:00:00+00:00,0.08053905,0.08071705,0.0764283995,0.0778175,26068.124855981,19.0,0.0788634489
DOGE/USD,2024-01-19 06:00:00+00:00,0.0777895,0.078921,0.0747704,0.07824,9043.5355212,15.0,0.0773479185
DOGE/USD,2024-01-20 06:00:00+00:00,0.07823,0.0909651635,0.07823,0.085925,59441.764777277,33.0,0.0863097255
DOGE/USD,2024-01-21 06:00:00+00:00,0.08597065,0.0888195,0.0821525,0.083558,25820.152402394,21.0,0.0859920574
DOGE/USD,2024-01-22 06:00:00+00:00,0.083561,0.0847436,0.0800545,0.08111215,32739.30825888,23.0,0.0819673797
DOGE/USD,2024-01-23 06:00:00+00:00,0.081046,0.08108005,0.07594,0.07885695,26600.76936855,27.0,0.0777467711
DOGE/USD,2024-01-24 06:00:00+00:00,0.07889695,0.080606,0.07735345,0.0775025,14857.128999362,14.0,0.0798380601
DOGE/USD,2024-01-25 06:00:00+00:00,0.0775417,0.078646287,0.077098166,0.07821,2664.041777995,15.0,0.0778944574
DOGE/USD,2024-01-26 06:00:00+00:00,0.07822915,0.08032915,0.077656,0.07933435,125693.494479637,40.0,0.0800843647
DOGE/USD,2024-01-27 06:00:00+00:00,0.079359,0.0814649,0.078888,0.080715,708359.877622449,47.0,0.0796651452
DOGE/USD,2024-01-28 06:00:00+00:00,0.080715,0.08092655,0.07819845,0.0789269,456165.440039418,19.0,0.079020083
DOGE/USD,2024-01-29 06:00:00+00:00,0.0789325,0.082973432,0.0781771,0.0812565,18079.48246165,29.0,0.0814258015
DOGE/USD,2024-01-30 06:00:00+00:00,0.08123,0.0821712,0.0790251,0.080031,253336.599221183,19.0,0.0799193188
DOGE/USD,2024-01-31 06:00:00+00:00,0.079995,0.0801107,0.077265,0.078919,9798.725079371,10.0,0.0793332474
DOGE/USD,2024-02-01 06:00:00+00:00,0.07891295,0.0799165,0.0783385,0.0798542,9752.317174472,11.0,0.0796182776
DOGE/USD,2024-02-02 06:00:00+00:00,0.079784,0.079887,0.07856,0.07943485,15747.672143201,8.0,0.0789226479
DOGE/USD,2024-02-03 06:00:00+00:00,0.07937045,0.079448,0.078442955,0.0786375,18334.064809529,13.0,0.0790346584
DOGE/USD,2024-02-04 06:00:00+00:00,0.0785715,0.079937,0.077428177,0.078045,11162.635743003,12.0,0.0787583207
DOGE/USD,2024-02-05 06:00:00+00:00,0.0780785,0.08013929,0.077535,0.0781805,62587.645339719,13.0,0.0783609635
DOGE/USD,2024-02-06 06:00:00+00:00,0.078135,0.079202,0.077655,0.07847095,4281.340210986,8.0,0.078702661
DOGE/USD,2024-02-07 06:00:00+00:00,0.078485,0.080415,0.07818035,0.0800575,62856.146579206,9.0,0.0791996938
DOGE/USD,2024-02-08 06:00:00+00:00,0.080006,0.0808774,0.0795625,0.080655,55346.051698399,17.0,0.0805033398
DOGE/USD,2024-02-09 06:00:00+00:00,0.08068905,0.0821995,0.0803833,0.0815946,19250.002766454,22.0,0.0815276511
DOGE/USD,2024-02-10 06:00:00+00:00,0.0816155,0.082323684,0.0803666,0.08207,2111.475753106,6.0,0.0811047653
DOGE/USD,2024-02-11 06:00:00+00:00,0.0820725,0.0834966095,0.0799525,0.08018185,17148.732934769,13.0,0.0824430928
DOGE/USD,2024-02-12 06:00:00+00:00,0.0801695,0.0830105,0.0794834,0.082231,26375.52411089,32.0,0.082000432
DOGE/USD,2024-02-13 06:00:00+00:00,0.082216,0.08299345,0.079402081,0.081561,115063.943052973,12.0,0.0804261972
DOGE/USD,2024-02-14 06:00:00+00:00,0.0815492,0.088158301,0.081388,0.08574915,90007.881970911,50.0,0.085269566
