run,train_acc,test_acc
0,0.477899,0.4010683901425282
1,0.477923,0.3995507599576838
2,0.477738,0.40048768488136544
3,0.477544,0.3996072174136302
4,0.477831,0.3992751938036598
5,0.478157,0.40003064833322804
6,0.477049,0.39915824621634227
7,0.478012,0.400005108055538
8,0.477891,0.400213462952483
9,0.477618,0.3994526315223484
