filename,date,isCompleteData,original_count,predicted_count,expansion_ratio
TRUMP_20250417,2025-04-17,True,2509,2509,1
TRUMP_20250418,2025-04-18,False,86,2829,32.89650537634409
TRUMP_20250419,2025-04-19,True,2932,2932,1
TRUMP_20250420,2025-04-20,False,68,857,12.604444444444443
TRUMP_20250421,2025-04-21,False,19,481,25.306122448979593
TRUMP_20250422,2025-04-22,False,58,1638,28.248741188318228
TRUMP_20250423,2025-04-23,False,6031,12752,2.114489410777941
TRUMP_20250424,2025-04-24,False,201,2830,14.078446306169079
TRUMP_20250425,2025-04-25,True,3767,3767,1
TRUMP_20250426,2025-04-26,False,1652,3563,2.1564827191139964
TRUMP_20250427,2025-04-27,False,392,1520,3.8769651401230356
TRUMP_20250428,2025-04-28,False,1446,3167,2.1902599041130455
TRUMP_20250429,2025-04-29,False,1211,3184,2.6294525684289463
TRUMP_20250430,2025-04-30,False,1408,2149,1.5260290556900726
TRUMP_20250501,2025-05-01,True,2151,2151,1
TRUMP_20250502,2025-05-02,False,1245,2136,1.7153770675637794
TRUMP_20250503,2025-05-03,False,1001,2402,2.39980875478113
TRUMP_20250504,2025-05-04,True,2257,2257,1
TRUMP_20250505,2025-05-05,False,685,2620,3.8254737769942704
TRUMP_20250506,2025-05-06,True,3000,3000,1
TRUMP_20250507,2025-05-07,True,2929,2929,1
TRUMP_20250508,2025-05-08,True,3193,3193,1
TRUMP_20250509,2025-05-09,True,3347,3347,1
TRUMP_20250510,2025-05-10,True,2499,2499,1
TRUMP_20250511,2025-05-11,False,917,2773,3.0234541577825165
TRUMP_20250512,2025-05-12,False,1544,4958,3.2112467628560855
TRUMP_20250513,2025-05-13,False,850,2624,3.0872771296500106
TRUMP_20250514,2025-05-14,False,655,1749,2.6705508474576276
TRUMP_20250515,2025-05-15,False,545,1814,3.328231904933381
TRUMP_20250516,2025-05-16,False,1506,2807,1.8641937695178614
TRUMP_20250517,2025-05-17,False,625,2383,3.8127954085077653
TRUMP_20250518,2025-05-18,False,21,584,27.80392156862745
TRUMP_20250519,2025-05-19,False,483,1848,3.82547377699427
TRUMP_20250520,2025-05-20,True,3511,3511,1
TRUMP_20250521,2025-05-21,False,440,2225,5.057171514543631
TRUMP_20250522,2025-05-22,False,1750,5824,3.328231904933381
TRUMP_20250523,2025-05-23,True,4999,4999,1
TRUMP_20250524,2025-05-24,False,561,2608,4.649444215726636
TRUMP_20250525,2025-05-25,False,515,1557,3.0234541577825165
TRUMP_20250526,2025-05-26,False,2502,2967,1.1859543653504576
TRUMP_20250527,2025-05-27,True,2714,2714,1
TRUMP_20250528,2025-05-28,False,1288,2449,1.9012066365007538
TRUMP_20250529,2025-05-29,True,2536,2536,1
TRUMP_20250530,2025-05-30,False,601,1802,2.999019727974513
TRUMP_20250531,2025-05-31,True,1689,1689,1
TRUMP_20250601,2025-06-01,False,37,1029,27.80392156862745
TRUMP_20250602,2025-06-02,False,177,1561,8.821138211382113
TRUMP_20250603,2025-06-03,True,4084,4084,1
TRUMP_20250604,2025-06-04,False,2560,3323,1.297979147895482
TRUMP_20250605,2025-06-05,False,2164,7202,3.328231904933381
TRUMP_20250606,2025-06-06,True,4708,4708,1
TRUMP_20250607,2025-06-07,False,95,1442,15.179435483870968
TRUMP_20250608,2025-06-08,False,645,1519,2.3554817275747513
TRUMP_20250609,2025-06-09,False,2228,3284,1.4741847826086958
TRUMP_20250610,2025-06-10,False,273,2410,8.826620516047827
TRUMP_20250611,2025-06-11,False,21,388,18.468864468864467
TRUMP_20250612,2025-06-12,False,424,3781,8.91702846116739
TRUMP_20250613,2025-06-13,False,22,724,32.89650537634409
TRUMP_20250614,2025-06-14,False,73,2240,30.688858695652172
TRUMP_20250615,2025-06-15,False,78,2169,27.803921568627448
TRUMP_20250616,2025-06-16,False,289,1375,4.756164383561643
TRUMP_20250617,2025-06-17,False,44,1243,28.248741188318228
TRUMP_20250618,2025-06-18,False,119,801,6.727151434289527
TRUMP_20250619,2025-06-19,False,91,1281,14.078446306169079
TRUMP_20250620,2025-06-20,False,1,33,32.89650537634409
TRUMP_20250621,2025-06-21,False,207,1590,7.680040802448146
