Date,Unique Authors,Tweet Count,Authors With Multiple Posts,Authors Posting 1 Time,Authors Posting 2 Times,Authors Posting 3 Times,Authors Posting 4 Times,Authors Posting 5 Times,Authors Posting 6 Times,Authors Posting 7 Times,Authors Posting 8 Times,Authors Posting 9 Times,Authors Posting 10 Times,Authors Posting 11 Times,Authors Posting 12 Times,Authors Posting 13 Times,Authors Posting 14 Times,Authors Posting 15 Times,Authors Posting 16 Times,Authors Posting 17 Times,Authors Posting 18 Times,Authors Posting 19 Times,Authors Posting 20 Times,Authors Posting 21 Times,Authors Posting 22 Times,Authors Posting 23 Times,Authors Posting 24 Times,Authors Posting 25 Times,Authors Posting 26 Times,Authors Posting 27 Times,Authors Posting 28 Times,Authors Posting 29 Times,Authors Posting 30 Times,Authors Posting 31 Times,Authors Posting 32 Times,Authors Posting 33 Times,Authors Posting 34 Times,Authors Posting 35 Times,Authors Posting 36 Times,Authors Posting 37 Times,Authors Posting 38 Times,Authors Posting 39 Times,Authors Posting 40 Times,Authors Posting 41 Times,Authors Posting 42 Times,Authors Posting 43 Times,Authors Posting 44 Times,Authors Posting 45 Times,Authors Posting 46 Times,Authors Posting 47 Times,Authors Posting 48 Times,Authors Posting 49 Times,Authors Posting 50 Times,Authors Posting 51 Times,Authors Posting 53 Times,Authors Posting 54 Times,Authors Posting 56 Times,Authors Posting 57 Times,Authors Posting 58 Times,Authors Posting 59 Times,Authors Posting 61 Times,Authors Posting 62 Times,Authors Posting 63 Times,Authors Posting 64 Times,Authors Posting 67 Times,Authors Posting 68 Times,Authors Posting 69 Times,Authors Posting 78 Times,Authors Posting 82 Times,Authors Posting 88 Times,Authors Posting 92 Times,Authors Posting 94 Times,Authors Posting 95 Times,Authors Posting 96 Times,Authors Posting 105 Times,Authors Posting 114 Times,Authors Posting 125 Times,Authors Posting 131 Times,Authors Posting 133 Times,Authors Posting 134 Times,Authors Posting 163 Times,Authors Posting 165 Times,Authors Posting 172 Times,Authors Posting 175 Times,Authors Posting 203 Times,Authors Posting 288 Times,Authors Posting 566 Times,Authors Posting 825 Times,Authors Posting 1404 Times
2021-05-01,6338,10282,1354,4984,715,249,140,68,42,22,17,21,16,6,10,6,9,2,4,3,2,3,0,0,4,1,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-02,7541,14634,1700,5841,854,333,152,87,67,35,30,21,12,14,11,5,10,7,9,4,5,3,4,2,3,3,1,3,1,1,2,2,0,2,0,3,1,0,0,0,0,0,1,2,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2021-05-03,13207,26238,3306,9901,1659,582,312,176,115,81,75,49,24,29,26,12,22,16,11,9,17,5,10,6,11,4,4,2,4,3,2,2,1,1,5,1,1,1,0,3,1,1,0,1,0,0,1,2,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2021-05-04_Latest50001_max,28291,50001,6582,21709,3405,1208,608,373,226,152,120,73,60,53,45,31,29,23,14,9,17,11,11,9,11,6,5,2,12,5,3,6,1,3,2,3,0,4,6,2,1,0,1,0,1,5,1,3,1,0,2,0,0,2,1,1,0,0,1,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,1,0,1,0
2021-05-05_Latest20270_keyboard,12255,20270,2474,9781,1361,457,213,114,79,49,38,28,20,15,11,13,6,1,6,4,7,8,2,2,1,3,3,3,1,0,3,0,2,2,0,1,1,0,1,0,0,1,1,1,2,0,0,1,1,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
