date,total_tweets,positive,neutral,negative
20211001,754,317,364,73
20211002,565,202,307,56
20211003,685,237,376,72
20211004,4386,1626,2276,484
20211005,5073,1895,2638,540
20211006,818,383,337,98
20211007,1309,561,585,163
20211008,3740,1491,1807,442
20211009,1995,803,982,210
20211010,3346,1291,1724,331
20211011,5387,2292,2460,635
20211012,3931,1617,1883,431
20211013,799,311,395,93
20211014,569,217,273,79
20211015,2640,1037,1346,257
20211016,693,263,366,64
20211017,1272,432,738,102
20211018,286,106,149,31
20211019,230,92,109,29
20211020,3261,1264,1639,358
20211021,1455,567,713,175
20211022,718,281,354,83
20211023,853,340,432,81
20211024,8288,3292,3865,1131
20211025,986,406,453,127
20211026,737,329,309,99
20211027,10772,4256,4690,1826
20211028,11955,4703,5622,1630
20211029,2521,1129,1069,323
20211030,83,31,42,10
20211031,778,334,355,89
