date,total_tweets,positive,neutral,negative
20210901,242,97,120,25
20210902,2233,951,1070,212
20210903,460,185,229,46
20210904,3030,1195,1553,282
20210905,1815,636,1011,168
20210906,555,240,266,49
20210907,4682,1834,2220,628
20210908,4782,2169,2095,518
20210909,2562,1037,1221,304
20210910,879,337,445,97
20210911,98,32,55,11
20210912,1207,429,667,111
20210913,649,254,312,83
20210914,218,90,107,21
20210915,600,271,274,55
20210916,412,159,209,44
20210917,682,321,287,74
20210918,1331,524,665,142
20210919,592,212,305,75
20210920,4047,1475,2002,570
20210921,2588,1264,1018,306
20210922,2348,1086,1056,206
20210923,5511,2596,2379,536
20210924,4723,2042,2052,629
20210925,2048,851,961,236
20210926,798,342,355,101
20210927,333,130,160,43
20210928,2707,1080,1305,322
20210929,540,225,264,51
20210930,96,43,47,6
