date,total_tweets,positive,neutral,negative
20210601,12255,4867,6136,1252
20210602,18759,7991,8985,1783
20210603,14188,5993,6718,1477
20210604,14522,6603,5851,2068
20210605,12857,5731,5464,1662
20210606,1981,834,877,270
20210607,9932,4759,3988,1185
20210608,8973,4132,3785,1056
20210609,9216,4252,4050,914
20210610,7611,3689,3040,882
20210611,9566,4598,3881,1087
20210612,1004,385,477,142
20210613,4789,2256,1989,544
20210614,5521,2892,2154,475
20210615,122,50,52,20
20210616,1513,676,675,162
20210617,151,58,75,18
20210618,5020,2328,1987,705
20210619,6946,3311,2837,798
20210620,614,271,257,86
20210621,7995,3081,3330,1584
20210622,7472,3208,2977,1287
20210623,9508,5133,3377,998
20210624,5452,2618,2286,548
20210625,2031,855,893,283
20210626,6576,3507,2419,650
20210627,3959,1931,1619,409
20210628,4534,2457,1651,426
20210629,4517,2208,1920,389
20210630,1847,840,820,187
