date,total_tweets,positive,neutral,negative
20220201,84,40,35,9
20220202,395,144,200,51
20220203,45,14,27,4
20220204,230,83,118,29
20220205,198,86,96,16
20220206,108,49,45,14
20220207,208,74,119,15
20220208,111,49,48,14
20220209,39,15,21,3
20220210,147,54,59,34
20220211,98,49,36,13
20220212,66,24,34,8
20220213,2943,1239,1352,352
20220214,40,20,17,3
20220215,1030,410,486,134
20220216,194,77,102,15
20220217,1109,418,528,163
20220218,513,176,263,74
20220219,432,165,202,65
20220220,336,133,155,48
20220221,68,29,29,10
20220222,337,120,167,50
20220223,200,80,90,30
20220224,1301,387,675,239
20220225,604,201,323,80
20220226,446,157,240,49
20220227,90,31,52,7
20220228,629,264,294,71
