date,total_tweets,positive,neutral,negative
20220301,255,88,142,25
20220302,519,216,249,54
20220303,10,4,6,0
20220304,321,111,159,51
20220305,55,23,25,7
20220306,147,56,69,22
20220307,138,48,69,21
20220308,194,78,93,23
20220309,325,132,161,32
20220310,71,29,33,9
20220311,394,127,208,59
20220313,173,71,78,24
20220314,196,84,92,20
20220315,319,113,181,25
20220316,283,106,144,33
20220317,256,76,144,36
20220318,182,73,89,20
20220319,457,181,226,50
20220320,321,131,145,45
20220321,343,123,181,39
20220322,17,3,12,2
20220323,40,12,19,9
20220324,1425,517,746,162
20220325,378,138,191,49
20220326,22,10,10,2
20220327,572,195,326,51
20220328,78,29,41,8
20220329,339,124,174,41
20220330,293,132,124,37
20220331,523,192,265,66
