date,total_tweets,positive,neutral,negative
20211201,230,91,113,26
20211202,1578,684,749,145
20211203,2585,1093,1178,314
20211204,263,98,128,37
20211205,600,260,275,65
20211206,228,112,93,23
20211207,189,78,83,28
20211208,146,56,72,18
20211209,115,42,58,15
20211210,91,28,53,10
20211211,147,50,82,15
20211212,99,43,43,13
20211213,235,90,108,37
20211214,159,62,74,23
20211215,154,54,83,17
20211216,209,76,105,28
20211217,157,63,75,19
20211218,68,27,31,10
20211219,251,103,123,25
20211220,483,176,228,79
20211221,517,210,255,52
20211222,153,55,77,21
20211223,759,300,401,58
20211224,360,144,189,27
20211225,765,270,422,73
20211226,83,33,38,12
20211227,14,2,10,2
20211228,200,81,100,19
20211229,632,257,313,62
20211230,60,26,24,10
