date,total_tweets,positive,neutral,negative
20220101,24,12,11,1
20220102,429,149,234,46
20220103,26,9,15,2
20220104,777,267,381,129
20220105,440,148,226,66
20220106,14,9,5,0
20220107,350,136,179,35
20220108,291,99,151,41
20220109,250,85,140,25
20220110,1326,461,678,187
20220111,534,205,289,40
20220112,512,190,263,59
20220113,374,115,219,40
20220114,31,15,13,3
20220115,83,39,37,7
20220116,1161,444,602,115
20220117,77,26,41,10
20220118,245,96,119,30
20220119,516,212,253,51
20220120,733,254,367,112
20220121,592,205,267,120
20220122,668,262,316,90
20220123,863,305,427,131
20220124,58,19,30,9
20220125,3761,1883,1460,418
20220126,248,103,114,31
20220127,96,47,37,12
20220128,190,76,85,29
20220129,187,80,87,20
20220130,52,23,28,1
20220131,242,88,128,26
