date,total_tweets,positive,neutral,negative
20211101,5689,2627,2487,575
20211102,3353,1296,1635,422
20211103,1583,729,657,197
20211104,46,19,21,6
20211105,1151,512,511,128
20211106,2606,1030,1320,256
20211107,806,389,344,73
20211108,1091,455,545,91
20211109,2842,1224,1329,289
20211110,865,355,383,127
20211111,1422,573,716,133
20211112,293,119,132,42
20211113,1435,603,678,154
20211114,429,163,221,45
20211115,1298,518,608,172
20211116,276,110,119,47
20211117,1570,599,792,179
20211118,11,4,6,1
20211119,250,98,118,34
20211120,4,2,2,0
20211121,382,167,170,45
20211122,7,2,3,2
20211123,409,174,166,69
20211124,676,327,292,57
20211125,528,243,221,64
20211126,636,250,309,77
20211127,42,13,23,6
20211128,2745,1057,1343,345
20211129,97,42,47,8
20211130,1001,461,430,110
