date,total_tweets,positive,neutral,negative
20220401,11,5,5,1
20220402,49,20,22,7
20220403,1193,410,648,135
20220404,141,64,61,16
20220405,5491,1927,3026,538
20220406,312,106,171,35
20220407,348,130,173,45
20220408,158,52,86,20
20220409,351,126,190,35
20220410,793,342,349,102
20220411,585,212,256,117
20220412,488,173,250,65
20220413,573,222,262,89
20220414,1074,405,486,183
20220415,5,4,0,1
20220416,663,259,298,106
20220417,1453,629,654,170
20220418,2232,859,1072,301
20220419,1201,502,568,131
20220420,1666,707,724,235
20220421,429,173,193,63
20220422,2607,1005,1267,335
20220423,976,378,506,92
20220424,1471,630,671,170
20220425,8797,3247,4599,951
20220426,8020,3114,3871,1035
20220427,1275,546,560,169
20220428,2337,972,1048,317
20220429,2418,1125,965,328
20220430,547,211,241,95
