date,total_tweets,positive,neutral,negative
20210501,7595,2854,4001,740
20210502,9468,3909,4530,1029
20210503,18089,7209,8982,1898
20210504,39164,13710,19800,5654
20210505,17970,7272,8046,2652
20210506,11084,4904,4884,1296
20210507,18285,6963,9077,2245
20210508,23770,9530,10689,3551
20210509,69729,26553,29387,13789
20210510,17331,6991,7217,3123
20210511,32760,15599,12690,4471
20210512,32529,16630,12107,3792
20210513,14949,5895,6784,2270
20210514,11080,4828,4785,1467
20210515,19447,9101,8154,2192
20210516,35038,19265,11722,4051
20210517,31715,18555,9806,3354
20210518,17850,8353,7396,2101
20210519,24515,9905,10330,4280
20210520,20825,9499,8756,2570
20210521,14700,6718,6158,1824
20210522,2940,1311,1239,390
20210523,12775,5463,5280,2032
20210524,16537,7122,6895,2520
20210525,30117,15949,11614,2554
20210526,14551,7809,5332,1410
20210527,18225,10426,6728,1071
20210528,9220,4198,3934,1088
20210529,8004,3317,3649,1038
20210530,7627,3398,3290,939
20210531,7982,3462,3597,923
