run,train_acc,test_acc
0,0.283863,0.2381343927577055
1,0.284533,0.23837280976183886
2,0.284322,0.23730400377745575
3,0.283859,0.23753427971315527
4,0.284482,0.23947999506883855
5,0.284921,0.23856586938469804
6,0.284281,0.23750287844919624
7,0.284137,0.23896361872817903
8,0.285479,0.2387100825969543
9,0.28448,0.23973353120006327
