date,price,tweet_count,has_tweet,price_diff_tomorrow,price_diff_rate_tomorrow,price_diff_1daysbefore,price_diff_rate_1daysbefore,price_diff_2daysbefore,price_diff_rate_2daysbefore,price_diff_3daysbefore,price_diff_rate_3daysbefore,price_diff_4daysbefore,price_diff_rate_4daysbefore,price_diff_5daysbefore,price_diff_rate_5daysbefore
2025/08/01,1.07793237588653e-05,1570,True,-3.904912037565413e-07,-0.03622594631090725,,,,,,,,,,
2025/08/02,1.0388832555108758e-05,1043,True,-2.570882546591479e-07,-0.02474659720381416,-3.904912037565413e-07,-0.03622594631090725,,,,,,,,
2025/08/03,1.013174430044961e-05,1371,True,3.272589497257051e-07,0.032300356189524294,-2.570882546591479e-07,-0.02474659720381416,-3.904912037565413e-07,-0.03622594631090725,,,,,,
2025/08/04,1.0459003250175315e-05,9225,True,3.067837411595094e-07,0.029332024651045695,3.272589497257051e-07,0.032300356189524294,-2.570882546591479e-07,-0.02474659720381416,-3.904912037565413e-07,-0.03622594631090725,,,,
2025/08/05,1.0765786991334825e-05,445,True,-5.775122494889149e-07,-0.053643291470818005,3.067837411595094e-07,0.029332024651045695,3.272589497257051e-07,0.032300356189524294,-2.570882546591479e-07,-0.02474659720381416,-3.904912037565413e-07,-0.03622594631090725,,
2025/08/06,1.018827474184591e-05,10814,True,3.703965134028508e-07,0.03635517521740314,-5.775122494889149e-07,-0.053643291470818005,3.067837411595094e-07,0.029332024651045695,3.272589497257051e-07,0.032300356189524294,-2.570882546591479e-07,-0.02474659720381416,-3.904912037565413e-07,-0.03622594631090725
2025/08/07,1.055867125524876e-05,5704,True,5.476241780738137e-07,0.051864876255294665,3.703965134028508e-07,0.03635517521740314,-5.775122494889149e-07,-0.053643291470818005,3.067837411595094e-07,0.029332024651045695,3.272589497257051e-07,0.032300356189524294,-2.570882546591479e-07,-0.02474659720381416
2025/08/08,1.1106295433322574e-05,8420,True,7.095502467988436e-07,0.06388721163223852,5.476241780738137e-07,0.051864876255294665,3.703965134028508e-07,0.03635517521740314,-5.775122494889149e-07,-0.053643291470818005,3.067837411595094e-07,0.029332024651045695,3.272589497257051e-07,0.032300356189524294
2025/08/09,1.1815845680121418e-05,8882,True,6.159832270177817e-07,0.052131962763705623,7.095502467988436e-07,0.06388721163223852,5.476241780738137e-07,0.051864876255294665,3.703965134028508e-07,0.03635517521740314,-5.775122494889149e-07,-0.053643291470818005,3.067837411595094e-07,0.029332024651045695
2025/08/10,1.24318289071392e-05,9449,True,-3.5283077545502586e-07,-0.02838124447259779,6.159832270177817e-07,0.052131962763705623,7.095502467988436e-07,0.06388721163223852,5.476241780738137e-07,0.051864876255294665,3.703965134028508e-07,0.03635517521740314,-5.775122494889149e-07,-0.053643291470818005
2025/08/11,1.2078998131684174e-05,9664,True,-8.354777951416179e-07,-0.06916780564359001,-3.5283077545502586e-07,-0.02838124447259779,6.159832270177817e-07,0.052131962763705623,7.095502467988436e-07,0.06388721163223852,5.476241780738137e-07,0.051864876255294665,3.703965134028508e-07,0.03635517521740314
2025/08/12,1.1243520336542556e-05,12970,True,9.217294825277947e-07,0.08197872685230821,-8.354777951416179e-07,-0.06916780564359001,-3.5283077545502586e-07,-0.02838124447259779,6.159832270177817e-07,0.052131962763705623,7.095502467988436e-07,0.06388721163223852,5.476241780738137e-07,0.051864876255294665
2025/08/13,1.216524981907035e-05,3770,True,1.261322458018932e-07,0.01036824131668609,9.217294825277947e-07,0.08197872685230821,-8.354777951416179e-07,-0.06916780564359001,-3.5283077545502586e-07,-0.02838124447259779,6.159832270177817e-07,0.052131962763705623,7.095502467988436e-07,0.06388721163223852
2025/08/14,1.2291382064872244e-05,1131,True,-1.2086973456447055e-06,-0.09833697620539052,1.261322458018932e-07,0.01036824131668609,9.217294825277947e-07,0.08197872685230821,-8.354777951416179e-07,-0.06916780564359001,-3.5283077545502586e-07,-0.02838124447259779,6.159832270177817e-07,0.052131962763705623
2025/08/15,1.1082684719227538e-05,4913,True,-2.885049890907537e-07,-0.02603204876795074,-1.2086973456447055e-06,-0.09833697620539052,1.261322458018932e-07,0.01036824131668609,9.217294825277947e-07,0.08197872685230821,-8.354777951416179e-07,-0.06916780564359001,-3.5283077545502586e-07,-0.02838124447259779
2025/08/16,1.0794179730136785e-05,9667,True,2.8791724635813603e-07,0.026673378946460023,-2.885049890907537e-07,-0.02603204876795074,-1.2086973456447055e-06,-0.09833697620539052,1.261322458018932e-07,0.01036824131668609,9.217294825277947e-07,0.08197872685230821,-8.354777951416179e-07,-0.06916780564359001
2025/08/17,1.108209697649492e-05,3349,True,7.63942583490385e-08,0.006893484013997567,2.8791724635813603e-07,0.026673378946460023,-2.885049890907537e-07,-0.02603204876795074,-1.2086973456447055e-06,-0.09833697620539052,1.261322458018932e-07,0.01036824131668609,9.217294825277947e-07,0.08197872685230821
2025/08/18,1.115849123484396e-05,1609,True,-4.688186524137332e-07,-0.042014519933463855,7.63942583490385e-08,0.006893484013997567,2.8791724635813603e-07,0.026673378946460023,-2.885049890907537e-07,-0.02603204876795074,-1.2086973456447055e-06,-0.09833697620539052,1.261322458018932e-07,0.01036824131668609
2025/08/19,1.0689672582430226e-05,10386,True,-4.97087445398374e-07,-0.04650165302680996,-4.688186524137332e-07,-0.042014519933463855,7.63942583490385e-08,0.006893484013997567,2.8791724635813603e-07,0.026673378946460023,-2.885049890907537e-07,-0.02603204876795074,-1.2086973456447055e-06,-0.09833697620539052
