date,price,tweet_count,has_tweet,price_diff
2013/12/15,0.000558776,242,True,-0.00025947599999999997
2013/12/16,0.0002993,523,True,-8.112400000000002e-05
2013/12/17,0.000218176,498,True,4.957300000000002e-05
2013/12/18,0.000267749,645,True,0.00020734999999999997
2013/12/19,0.000475099,959,True,0.000513799
2013/12/20,0.000988898,825,True,-0.000551001
2013/12/21,0.000437897,495,True,-3.2777e-05
2013/12/22,0.00040512,623,True,-7.533600000000001e-05
2013/12/23,0.000329784,724,True,0.00038191
2013/12/24,0.000711694,371,True,-0.00013002900000000004
2013/12/25,0.000581665,310,True,-2.459700000000001e-05
2013/12/26,0.000557068,1960,True,-1.3071999999999932e-05
2013/12/27,0.000543996,847,True,-1.1412000000000032e-05
2013/12/28,0.000532584,414,True,-0.000121078
2013/12/29,0.000411506,497,True,2.7809000000000004e-05
2013/12/30,0.000439315,412,True,-2.7800000000004037e-07
2013/12/31,0.000439037,259,True,-8.878999999999994e-06
2014/01/01,0.000430158,253,True,-7.948599999999998e-05
2014/01/02,0.000350672,469,True,-3.462000000000002e-05
2014/01/03,0.000316052,429,True,-3.2981000000000015e-05
2014/01/04,0.000283071,263,True,-1.153199999999997e-05
2014/01/05,0.000271539,207,True,-1.839000000000002e-05
2014/01/06,0.000253149,253,True,-2.2551999999999983e-05
2014/01/07,0.000230597,224,True,-2.2464999999999996e-05
2014/01/08,0.000208132,231,True,4.047599999999998e-05
2014/01/09,0.000248608,244,True,-3.1079999999999845e-06
2014/01/10,0.0002455,240,True,0.00011674599999999998
2014/01/11,0.000362246,249,True,-1.020000000000014e-06
2014/01/12,0.000361226,181,True,-3.113399999999999e-05
2014/01/13,0.000330092,214,True,-4.283599999999998e-05
2014/01/14,0.000287256,527,True,6.270100000000002e-05
2014/01/15,0.000349957,540,True,6.519999999999996e-05
2014/01/16,0.000415157,298,True,-2.2791999999999995e-05
2014/01/17,0.000392365,444,True,3.6521000000000025e-05
2014/01/18,0.000428886,395,True,0.00015680400000000003
2014/01/19,0.00058569,462,True,0.00018947599999999995
2014/01/20,0.000775166,2186,True,0.001053194
2014/01/21,0.00182836,1508,True,-2.684999999999992e-05
2014/01/22,0.00180151,774,True,-0.0002596600000000001
2014/01/23,0.00154185,654,True,0.00012574000000000005
2014/01/24,0.00166759,789,True,0.00014325999999999987
2014/01/25,0.00181085,391,True,-4.113999999999984e-05
2014/01/26,0.00176971,117,True,-0.0001427100000000001
2014/01/27,0.001627,28,True,-0.0002850699999999999
2014/01/28,0.00134193,167,True,4.662999999999998e-05
2014/01/29,0.00138856,68,True,8.628999999999993e-05
2014/01/30,0.00147485,28,True,6.0080000000000116e-05
2014/01/31,0.00153493,43,True,-1.9800000000000156e-05
