run,train_acc,test_acc
0,0.48503,0.41392993629717056
1,0.485144,0.4116998667872885
2,0.484608,0.41366915661970394
3,0.4847,0.41410871824100076
4,0.485497,0.4136920084471108
5,0.484679,0.4132282507732655
6,0.484586,0.4170834884793184
7,0.484982,0.4136422721168723
8,0.484387,0.4134419825707768
9,0.484755,0.41381702138527776
