filename,date,start_time,finish_time,isCompleteData,normal_tweet_count,spammer_tweet_count,robot_tweet_count,tweet_total
DOGE_20210412.json,2021-04-12,23:59:59,00:00:02,True,2954,1257,774,4985
DOGE_20210413.json,2021-04-13,23:59:59,00:00:16,True,12065,3407,756,16228
DOGE_20210414_Laetst23795.json,2021-04-14,23:59:59,03:15:45,False,18785,4259,751,23795
DOGE_20210415_Latest25940.json,2021-04-15,23:59:59,03:56:38,False,20722,4408,810,25940
DOGE_20210416_Latest11037.json,2021-04-16,23:59:59,19:17:19,False,9357,1464,216,11037
DOGE_20210417_Latest463.json,2021-04-17,23:59:57,23:26:56,False,354,95,14,463
DOGE_20210418_Latest21553.json,2021-04-18,23:59:55,01:59:58,False,16213,5146,194,21553
DOGE_20210419_Latest5173.json,2021-04-19,23:59:58,21:07:07,False,3999,1029,145,5173
DOGE_20210420_Latest37310.json,2021-04-20,23:59:59,02:20:48,False,28873,6871,1566,37310
DOGE_20210421_Latest3160.json,2021-04-21,23:59:59,20:15:39,False,2183,830,147,3160
DOGE_20210422_Latest4137.json,2021-04-22,23:59:59,19:08:02,False,3016,874,247,4137
DOGE_20210423_Latest5088.json,2021-04-23,23:59:59,16:40:03,False,3581,1239,268,5088
DOGE_20210424_Latest6266.json,2021-04-24,23:59:52,14:35:46,False,4624,1251,391,6266
DOGE_20210425.json,2021-04-25,23:59:57,00:00:00,True,8574,2645,1190,12409
DOGE_20210426_Latest8792.json,2021-04-26,23:59:58,05:40:30,False,5955,1841,996,8792
DOGE_20210427.json,2021-04-27,23:59:59,00:00:03,True,8412,2575,1289,12276
DOGE_20210428_Latest654.json,2021-04-28,23:59:59,23:10:27,False,484,127,43,654
DOGE_20210429_Latest11097.json,2021-04-29,23:59:59,02:37:07,False,7653,2241,1203,11097
DOGE_20210430.json,2021-04-30,23:59:59,00:00:01,True,9461,2447,770,12678
