filename,date,start_time,finish_time,isCompleteData,normal_tweet_count,spammer_tweet_count,robot_tweet_count,tweet_total
DOGE_20250101.json,2025-01-01,23:59:49,00:00:00,True,5098,1587,34,6719
DOGE_20250102.json,2025-01-02,23:58:55,00:00:00,True,5166,1827,32,7025
DOGE_20250103.json,2025-01-03,23:59:47,00:00:00,True,6128,2013,25,8166
DOGE_20250104.json,2025-01-04,23:59:53,00:00:00,True,6117,2363,44,8524
DOGE_20250105_Latest6680.json,2025-01-05,23:59:55,02:30:08,False,4851,1591,238,6680
DOGE_20250106.json,2025-01-06,23:59:12,00:00:01,True,5379,2002,41,7422
DOGE_20250107.json,2025-01-07,23:59:56,00:00:00,True,4962,1999,21,6982
DOGE_20250108.json,2025-01-08,23:59:54,00:00:00,True,4507,1689,25,6221
DOGE_20250109.json,2025-01-09,23:59:57,00:00:00,True,4817,1877,20,6714
DOGE_20250110_Latest2726.json,2025-01-10,23:59:53,14:41:23,False,1893,811,22,2726
DOGE_20250111.json,2025-01-11,23:59:44,00:00:00,True,4071,1626,716,6413
DOGE_20250112.json,2025-01-12,23:59:58,00:00:00,True,4104,1699,2062,7865
DOGE_20250113.json,2025-01-13,23:59:21,00:00:01,True,4182,2064,64,6310
DOGE_20250114.json,2025-01-14,23:59:24,00:00:00,True,4638,2458,91,7187
DOGE_20250115_Latest1198.json,2025-01-15,23:59:20,20:03:33,False,841,353,4,1198
DOGE_20250116.json,2025-01-16,23:59:41,00:00:00,True,3731,1742,101,5574
DOGE_20250117.json,2025-01-17,23:59:36,00:00:00,True,5278,2034,46,7358
DOGE_20250118.json,2025-01-18,23:59:55,00:00:00,True,5910,1932,34,7876
DOGE_20250119.json,2025-01-19,23:59:30,00:00:00,True,6762,2078,78,8918
DOGE_20250120.json,2025-01-20,23:59:58,00:00:01,True,5573,2305,38,7916
DOGE_20250121.json,2025-01-21,23:59:46,00:00:00,True,9374,2504,88,11966
DOGE_20250122.json,2025-01-22,23:59:46,00:00:00,True,6143,2036,36,8215
DOGE_20250123_Latest1918.json,2025-01-23,23:59:37,18:16:42,False,1363,544,11,1918
DOGE_20250124.json,2025-01-24,23:59:51,00:00:00,True,4239,1683,108,6030
DOGE_20250125_Latest5067.json,2025-01-25,23:59:59,06:21:06,False,3416,1528,123,5067
DOGE_20250126.json,2025-01-26,23:59:42,00:00:00,True,4098,1797,90,5985
DOGE_20250127.json,2025-01-27,23:59:54,00:00:00,True,3601,1631,94,5326
DOGE_20250128_Latest2537.json,2025-01-28,23:59:42,17:07:57,False,1887,632,18,2537
DOGE_20250129_Latest29.json,2025-01-29,23:59:56,23:53:00,False,25,4,0,29
DOGE_20250130_Latest203.json,2025-01-30,23:59:59,23:20:13,False,112,91,0,203
DOGE_20250131_Latest712.json,2025-01-31,23:59:57,21:56:42,False,571,139,2,712
