filename,date,start_time,finish_time,isCompleteData,normal_tweet_count,spammer_tweet_count,robot_tweet_count,tweet_total
DOGE_20171201.json,2017-12-01,23:58:14,00:00:03,True,385,218,67,670
DOGE_20171202.json,2017-12-02,23:56:55,00:00:03,True,373,291,68,732
DOGE_20171203.json,2017-12-03,23:55:42,00:01:40,True,348,171,67,586
DOGE_20171204.json,2017-12-04,23:53:37,00:01:03,True,421,450,79,950
DOGE_20171205.json,2017-12-05,23:59:15,00:01:04,True,415,257,75,747
DOGE_20171206.json,2017-12-06,23:59:30,00:00:03,True,420,234,79,733
DOGE_20171207_Latest725.json,2017-12-07,23:59:58,02:37:03,False,419,238,68,725
DOGE_20171208.json,2017-12-08,23:59:35,00:00:03,True,490,316,46,852
DOGE_20171209.json,2017-12-09,23:58:43,00:00:26,True,493,166,0,659
DOGE_20171210.json,2017-12-10,23:59:25,00:00:45,True,426,462,28,916
DOGE_20171211.json,2017-12-11,23:58:45,00:00:03,True,444,253,94,791
DOGE_20171212.json,2017-12-12,23:58:19,00:00:40,True,641,108,47,796
DOGE_20171213.json,2017-12-13,23:57:59,00:00:52,True,678,111,10,799
DOGE_20171214.json,2017-12-14,23:52:14,00:00:21,True,524,103,26,653
DOGE_20171215.json,2017-12-15,23:53:49,00:00:46,True,507,154,22,683
DOGE_20171216.json,2017-12-16,23:54:49,00:00:05,True,879,110,0,989
DOGE_20171217.json,2017-12-17,23:59:40,00:01:14,True,727,180,8,915
DOGE_20171218.json,2017-12-18,23:58:45,00:00:00,True,731,168,23,922
DOGE_20171219.json,2017-12-19,23:56:38,00:00:24,True,694,192,24,910
DOGE_20171220.json,2017-12-20,23:56:37,00:00:20,True,951,132,7,1090
DOGE_20171221.json,2017-12-21,23:59:39,00:00:03,True,986,129,0,1115
DOGE_20171222.json,2017-12-22,23:50:38,00:01:29,True,682,161,9,852
DOGE_20171223_Latest529.json,2017-12-23,23:59:33,12:19:50,False,473,56,0,529
DOGE_20171224.json,2017-12-24,23:58:31,00:02:25,True,893,136,23,1052
DOGE_20171225_Latest364.json,2017-12-25,23:55:30,17:28:37,False,265,97,2,364
DOGE_20171226.json,2017-12-26,23:54:21,00:00:03,True,857,152,16,1025
DOGE_20171227.json,2017-12-27,23:59:46,00:00:01,True,857,265,13,1135
DOGE_20171228_Latest854.json,2017-12-28,23:57:48,04:04:55,False,675,153,26,854
DOGE_20171229_Latest747.json,2017-12-29,23:57:53,08:49:54,False,611,129,7,747
DOGE_20171230_Latest547.json,2017-12-30,23:56:55,13:30:03,False,419,128,0,547
DOGE_20171231.json,2017-12-31,23:50:07,00:00:01,True,783,108,0,891
