filename,date,start_time,finish_time,isCompleteData,normal_tweet_count,spammer_tweet_count,robot_tweet_count,tweet_total
DOGE_20210901_Latest283.json,2021-09-01,23:59:59,22:48:05,False,242,31,10,283
DOGE_20210902_Latest2569.json,2021-09-02,23:59:59,17:22:16,False,2233,292,44,2569
DOGE_20210903_Latest527.json,2021-09-03,23:59:59,21:21:31,False,460,59,8,527
DOGE_20210904_Latest3633.json,2021-09-04,23:58:51,08:37:06,False,3030,589,14,3633
DOGE_20210905_Latest2211.json,2021-09-05,23:59:49,17:12:57,False,1815,395,1,2211
DOGE_20210906_Latest711.json,2021-09-06,23:59:59,21:36:46,False,555,123,33,711
DOGE_20210907_Latest5850.json,2021-09-07,23:59:59,02:18:00,False,4682,1084,84,5850
DOGE_20210908.json,2021-09-08,23:59:59,00:00:01,True,4782,1242,72,6096
DOGE_20210909_Latest3015.json,2021-09-09,23:59:59,10:23:23,False,2562,423,30,3015
DOGE_20210910_Latest1026.json,2021-09-10,23:59:59,18:40:18,False,879,137,10,1026
DOGE_20210911_Latest135.json,2021-09-11,23:59:59,23:12:35,False,98,36,1,135
DOGE_20210912_Latest1539.json,2021-09-12,23:59:59,18:49:52,False,1207,322,10,1539
DOGE_20210913_Latest846.json,2021-09-13,23:59:59,20:22:00,False,649,162,35,846
DOGE_20210914_Latest263.json,2021-09-14,23:59:59,22:44:14,False,218,42,3,263
DOGE_20210915_Latest804.json,2021-09-15,23:59:59,20:26:49,False,600,197,7,804
DOGE_20210916_Latest516.json,2021-09-16,23:59:59,21:49:14,False,412,100,4,516
DOGE_20210917_Latest822.json,2021-09-17,23:59:59,20:08:02,False,682,137,3,822
DOGE_20210918_Latest1704.json,2021-09-18,23:59:59,15:58:00,False,1331,361,12,1704
DOGE_20210919_Latest781.json,2021-09-19,23:59:59,19:58:11,False,592,186,3,781
DOGE_20210920.json,2021-09-20,23:59:59,00:00:02,True,4047,1263,61,5371
DOGE_20210921_Latest3177.json,2021-09-21,23:59:59,16:11:01,False,2588,572,17,3177
DOGE_20210922_Latest2921.json,2021-09-22,23:59:59,17:26:15,False,2348,561,12,2921
DOGE_20210923.json,2021-09-23,23:59:36,00:00:00,True,5511,1142,86,6739
DOGE_20210924_Latest5973.json,2021-09-24,23:59:59,02:21:13,False,4723,1140,110,5973
DOGE_20210925_Latest2694.json,2021-09-25,23:59:57,10:59:00,False,2048,597,49,2694
DOGE_20210926_Latest1154.json,2021-09-26,23:59:59,18:18:39,False,798,349,7,1154
DOGE_20210927_Latest403.json,2021-09-27,23:57:50,21:45:37,False,333,69,1,403
DOGE_20210928_Latest3457.json,2021-09-28,23:59:23,07:41:00,False,2707,716,34,3457
DOGE_20210929_Latest712.json,2021-09-29,23:59:42,20:42:33,False,540,171,1,712
DOGE_20210930_Latest117.json,2021-09-30,23:59:59,23:21:43,False,96,20,1,117
