filename,date,start_time,finish_time,isCompleteData,normal_tweet_count,spammer_tweet_count,robot_tweet_count,tweet_total
DOGE_20181101.json,2018-11-01,23:58:56,00:00:07,True,279,72,5,356
DOGE_20181102.json,2018-11-02,23:59:38,00:00:31,True,226,90,6,322
DOGE_20181103.json,2018-11-03,23:50:05,00:00:08,True,247,38,8,293
DOGE_20181104.json,2018-11-04,23:55:39,00:00:12,True,195,33,6,234
DOGE_20181105.json,2018-11-05,23:48:40,00:04:11,True,232,59,8,299
DOGE_20181106.json,2018-11-06,23:59:54,00:08:45,True,265,88,13,366
DOGE_20181107.json,2018-11-07,23:59:34,00:01:55,True,229,81,4,314
DOGE_20181108.json,2018-11-08,23:50:48,00:17:19,True,273,37,14,324
DOGE_20181109.json,2018-11-09,23:54:32,00:00:24,True,306,0,15,321
DOGE_20181110.json,2018-11-10,23:52:39,00:00:15,True,309,1,20,330
DOGE_20181111.json,2018-11-11,23:54:54,00:00:03,True,222,0,6,228
DOGE_20181112.json,2018-11-12,23:58:19,00:00:00,True,235,0,10,245
DOGE_20181113.json,2018-11-13,23:53:01,00:04:39,True,204,1,5,210
DOGE_20181114.json,2018-11-14,23:44:27,00:00:19,True,277,2,14,293
DOGE_20181115.json,2018-11-15,23:55:03,00:00:32,True,333,2,12,347
DOGE_20181116.json,2018-11-16,23:59:43,00:00:34,True,266,2,13,281
DOGE_20181117.json,2018-11-17,23:49:46,00:12:03,True,189,3,25,217
DOGE_20181118.json,2018-11-18,23:43:16,00:00:07,True,199,0,17,216
DOGE_20181119.json,2018-11-19,23:54:57,00:33:03,True,268,4,13,285
DOGE_20181120.json,2018-11-20,23:59:33,00:07:49,True,209,5,17,231
DOGE_20181121.json,2018-11-21,23:52:17,00:01:20,True,197,14,16,227
DOGE_20181122.json,2018-11-22,23:54:47,00:02:07,True,213,14,25,252
DOGE_20181123.json,2018-11-23,23:37:23,00:05:16,True,221,22,5,248
DOGE_20181124.json,2018-11-24,23:39:07,00:04:11,True,168,13,2,183
DOGE_20181125.json,2018-11-25,23:51:05,00:12:02,True,181,11,1,193
DOGE_20181126.json,2018-11-26,23:58:22,00:04:49,True,194,14,2,210
DOGE_20181127.json,2018-11-27,23:51:01,00:00:21,True,220,28,35,283
DOGE_20181128.json,2018-11-28,23:57:15,00:09:23,True,224,18,2,244
DOGE_20181129.json,2018-11-29,23:57:04,00:14:29,True,189,37,2,228
DOGE_20181130.json,2018-11-30,23:58:55,00:05:02,True,208,34,4,246
