filename,date,start_time,finish_time,isCompleteData,normal_tweet_count,spammer_tweet_count,robot_tweet_count,tweet_total
DOGE_20140701.json,2014-07-01,23:58:39,00:00:08,True,567,1236,59,1862
DOGE_20140702_Latest438.json,2014-07-02,23:59:19,20:18:50,False,74,357,7,438
DOGE_20140703.json,2014-07-03,23:56:27,00:00:10,True,483,868,48,1399
DOGE_20140704.json,2014-07-04,23:57:14,00:00:08,True,439,691,48,1178
DOGE_20140705.json,2014-07-05,23:54:48,00:00:08,True,378,494,46,918
DOGE_20140706.json,2014-07-06,23:58:42,00:00:09,True,310,500,44,854
DOGE_20140707.json,2014-07-07,23:59:37,00:00:11,True,466,1336,47,1849
DOGE_20140708.json,2014-07-08,23:55:31,00:00:11,True,418,1222,38,1678
DOGE_20140709.json,2014-07-09,23:57:15,00:00:10,True,404,1335,0,1739
DOGE_20140710.json,2014-07-10,23:57:15,00:00:10,True,335,1124,0,1459
DOGE_20140711.json,2014-07-11,23:58:42,00:00:09,True,336,1177,0,1513
DOGE_20140712.json,2014-07-12,23:58:57,00:00:10,True,324,615,0,939
DOGE_20140713.json,2014-07-13,23:59:59,00:00:09,True,240,512,0,752
DOGE_20140714.json,2014-07-14,23:57:24,00:00:10,True,433,1115,0,1548
DOGE_20140715.json,2014-07-15,23:57:08,00:00:09,True,505,1269,0,1774
DOGE_20140716.json,2014-07-16,23:59:22,00:00:10,True,371,1242,0,1613
DOGE_20140717.json,2014-07-17,23:59:44,00:00:11,True,391,1159,0,1550
DOGE_20140718.json,2014-07-18,23:58:32,00:00:09,True,353,1129,0,1482
DOGE_20140719.json,2014-07-19,23:50:09,00:00:10,True,303,580,0,883
DOGE_20140720.json,2014-07-20,23:57:14,00:00:09,True,295,586,0,881
DOGE_20140721.json,2014-07-21,23:58:13,00:00:09,True,291,1151,0,1442
DOGE_20140722.json,2014-07-22,23:59:35,00:00:09,True,308,796,0,1104
DOGE_20140723.json,2014-07-23,23:59:22,00:00:01,True,337,1233,0,1570
DOGE_20140724.json,2014-07-24,23:54:46,00:00:10,True,356,1174,0,1530
DOGE_20140725.json,2014-07-25,23:59:46,00:00:10,True,506,1206,0,1712
DOGE_20140726.json,2014-07-26,23:56:58,00:00:11,True,307,528,0,835
DOGE_20140727_Latest583.json,2014-07-27,23:55:17,04:02:11,False,182,401,0,583
DOGE_20140728.json,2014-07-28,23:58:13,00:00:07,True,284,1160,0,1444
DOGE_20140729.json,2014-07-29,23:53:33,00:00:09,True,289,835,0,1124
DOGE_20140730.json,2014-07-30,23:58:26,00:02:04,True,320,1178,0,1498
DOGE_20140731.json,2014-07-31,23:56:09,00:00:09,True,258,1051,0,1309
