filename,date,start_time,finish_time,isCompleteData,normal_tweet_count,spammer_tweet_count,robot_tweet_count,tweet_total
DOGE_20210801_Latest126.json,2021-08-01,23:59:59,23:18:20,False,96,23,7,126
DOGE_20210802_Latest283.json,2021-08-02,23:59:54,22:45:53,False,214,55,14,283
DOGE_20210803_Latest5693.json,2021-08-03,23:59:44,01:11:05,False,3041,2390,262,5693
DOGE_20210804_Latest1050.json,2021-08-04,23:59:59,19:49:00,False,593,433,24,1050
DOGE_20210805_Latest511.json,2021-08-05,23:59:59,21:54:03,False,304,191,16,511
DOGE_20210806_Latest2450.json,2021-08-06,23:59:22,15:47:08,False,1411,974,65,2450
DOGE_20210807_Lateat2381.json,2021-08-07,23:59:59,18:19:58,False,1577,765,39,2381
DOGE_20210808_Latest2337.json,2021-08-08,23:59:59,15:20:03,False,1408,802,127,2337
DOGE_20210809_Latest2559.json,2021-08-09,23:59:58,16:34:29,False,1541,923,95,2559
DOGE_20210810_Latest1621.json,2021-08-10,23:59:59,18:26:02,False,919,648,54,1621
DOGE_20210811_Latest4304.json,2021-08-11,23:59:59,12:53:51,False,2784,1383,137,4304
DOGE_20210812_Latest642.json,2021-08-12,23:59:59,21:28:46,False,322,289,31,642
DOGE_20210813_Latest3429.json,2021-08-13,23:59:31,12:44:50,False,2095,1231,103,3429
DOGE_20210814_Latest3923.json,2021-08-14,23:59:59,11:52:43,False,2406,1385,132,3923
DOGE_20210815.json,2021-08-15,23:59:59,00:00:04,True,6231,3187,240,9658
DOGE_20210816_Latest6685.json,2021-08-16,23:59:59,04:33:11,False,4119,2355,211,6685
DOGE_20210817_Latest4884.json,2021-08-17,23:59:59,09:44:20,False,3150,1578,156,4884
DOGE_20210818.json,2021-08-18,23:59:59,00:00:02,True,5177,2700,165,8042
DOGE_20210819_Latest1232.json,2021-08-19,23:59:59,20:34:38,False,806,395,31,1232
DOGE_20210820_Latest47.json,2021-08-20,23:59:59,23:51:34,False,42,4,1,47
DOGE_20210821_Latest6.json,2021-08-21,23:59:59,23:59:11,False,5,1,0,6
DOGE_20210822_Latest814.json,2021-08-22,23:59:59,20:39:56,False,535,217,62,814
DOGE_20210823_Latest3104.json,2021-08-23,23:59:59,13:17:30,False,2425,504,175,3104
DOGE_20210824_Latest1790.json,2021-08-24,23:59:59,17:18:39,False,1435,263,92,1790
DOGE_20210825_Latest646.json,2021-08-25,23:59:59,21:18:14,False,564,53,29,646
DOGE_20210826_Latest2200.json,2021-08-26,23:59:59,15:17:44,False,1811,280,109,2200
DOGE_20210827_Latest547.json,2021-08-27,23:59:23,21:38:01,False,436,88,23,547
DOGE_20210828_Latest2259.json,2021-08-28,23:59:59,14:59:41,False,1787,342,130,2259
DOGE_20210829_Latest1643.json,2021-08-29,23:59:44,16:36:18,False,1331,255,57,1643
DOGE_20210830_Latest2576.json,2021-08-30,23:59:59,14:34:23,False,2080,416,80,2576
DOGE_20210831_Latest1692.json,2021-08-31,23:59:59,17:38:14,False,1351,298,43,1692
