filename,date,start_time,finish_time,isCompleteData,normal_tweet_count,spammer_tweet_count,robot_tweet_count,tweet_total
DOGE_20220501_Latest778.json,2022-05-01,23:59:53,18:26:50,False,625,153,0,778
DOGE_20220502_Latest386.json,2022-05-02,23:59:58,21:38:31,False,312,73,1,386
DOGE_20220503_Latest489.json,2022-05-03,23:59:19,21:41:00,False,399,88,2,489
DOGE_20220504_Latest2688.json,2022-05-04,23:59:50,12:42:27,False,1964,723,1,2688
DOGE_20220505_Latest387.json,2022-05-05,23:59:26,21:26:27,False,285,102,0,387
DOGE_20220506_Latest1221.json,2022-05-06,23:59:28,17:16:42,False,937,280,4,1221
DOGE_20220507_Latest1689.json,2022-05-07,23:59:20,15:06:42,False,1309,380,0,1689
DOGE_20220508_Latest1066.json,2022-05-08,23:59:20,16:39:46,False,859,204,3,1066
DOGE_20220509_Latest2024.json,2022-05-09,23:59:59,15:32:52,False,1638,379,7,2024
DOGE_20220510_Latest1853.json,2022-05-10,23:59:21,13:44:47,False,1492,359,2,1853
DOGE_20220511_Latest1127.json,2022-05-11,23:59:49,19:12:48,False,952,159,16,1127
DOGE_20220512_Latest4021.json,2022-05-12,23:59:56,08:04:16,False,3288,721,12,4021
DOGE_20220513.json,2022-05-13,23:58:56,00:00:00,True,4150,1014,28,5192
DOGE_20220514.json,2022-05-14,23:59:23,00:00:01,True,3419,839,38,4296
DOGE_20220515_Latest2430.json,2022-05-15,23:59:45,08:28:55,False,1848,581,1,2430
DOGE_20220516_Latest2259.json,2022-05-16,23:59:37,12:50:08,False,1670,582,7,2259
DOGE_20220517_Latest1283.json,2022-05-17,23:59:38,16:17:51,False,962,309,12,1283
DOGE_20220518_Latest1551.json,2022-05-18,23:59:27,15:12:05,False,1180,360,11,1551
DOGE_20220519_Latest56.json,2022-05-19,23:59:01,23:35:55,False,41,15,0,56
DOGE_20220520_Latest123.json,2022-05-20,23:59:32,23:13:19,False,87,36,0,123
DOGE_20220521_Latest161.json,2022-05-21,23:59:43,22:25:00,False,125,35,1,161
DOGE_20220522_Latest1478.json,2022-05-22,23:56:14,12:38:27,False,1088,381,9,1478
DOGE_20220523_Latest1773.json,2022-05-23,23:59:50,12:56:09,False,1382,379,12,1773
DOGE_20220524_Latest120.json,2022-05-24,23:58:21,22:40:43,False,105,15,0,120
DOGE_20220525_Latest1733.json,2022-05-25,23:59:13,14:32:32,False,1052,665,16,1733
DOGE_20220526_Latest1417.json,2022-05-26,23:59:58,15:07:32,False,1073,320,24,1417
DOGE_20220527_Latest2951.json,2022-05-27,23:59:32,13:22:17,False,2343,532,76,2951
DOGE_20220528_Latest302.json,2022-05-28,23:59:52,21:15:00,False,241,61,0,302
DOGE_20220529_Latest127.json,2022-05-29,23:59:38,23:03:43,False,105,22,0,127
DOGE_20220530_Latest104.json,2022-05-30,23:59:00,23:12:46,False,88,16,0,104
DOGE_20220531_Latest137.json,2022-05-31,23:59:44,23:04:02,False,114,22,1,137
